handle, id
@CryptoCobain, 2259434528
@jebus911, 162573283
@22loops, 2365864771
@ThisIsNuse, 27583645
@notsofast, 2631709828
@loomdart, 2603525726
@needacoin, 2279681898
@Crypto_Bitlord, 1032188509
@Sicarious_, 2305628744
@Cryptopathic, 2433432126
@CryptoHayes, 983993370048630785
@JihanWu, 3022775424
@starkness, 2189541
@Excellion, 14654494
@brian_armstrong, 14379660
@barrysilbert, 396045469
@cz_binance, 902926941413453824
@ErikVoorhees, 61417559
@jack, 12
@NeerajKA, 14710235
@RNR_0, 2199605117
@SatoshiLite, 14338147
@fluffypony, 386728215
@adam3us, 213236426
@VitalikButerin, 295218901
@IOHK_Charles, 1376161898
@zooko, 14182218
@peterktodd, 1471313300
@LukeDashjr, 728747154
@JoelKatz, 35749949
@dum, 10502872
@CryptoCronkite, 179158131
@CryptoDale, 903008841947688960
@La__Cuen, 416161639
@AaronvanW, 1944727015
@aantonop, 1469101279
@CryptoTaxGirl, 964462901506449408
@BitMEXResearch, 906870773066772480
@Hotkatchina, 4804553894
@cryptochrisw, 998910641732816896
@CryptoDonAlt, 878219545785372673
@CryptoCred, 899558268795842561
@BluesCrypto, 948145764659814401
@CryptoCoyote, 914059566295392257
@SalsaTekila, 1566114613
@TheCryptoDog, 887748030304329728
@HsakaTrades, 944686196331966464
@MoonOverlord, 938606626017370112
@VentureCoinist, 877728873340956672
@_tm5k, 255633949
@giancarloCFTC, 2846750008
@paulkrugman, 17006157
@Nouriel, 19224439
@JamesGRickards, 93295809
@PeterSchiff, 56562803
@_Kevin_Pham, 2395318063
@APompliano, 339061487
@naval, 745273
@parabolictrav, 2449847450
@lopp, 23618940
@inversebrah, 1051852534518824960
@wasserpest, 1915107799
@Cryptanzee, 4137926120
@Aztek_btc, 4421906124
@TehJoeCow, 828368204779118592
@Beastlyorion, 528584509
@ActualAdviceBTC, 2216302500
@bitcoinbella_, 935705323364433920
@lowstrife, 2415752418
@StopAndDecrypt, 904485444183842816
@coinyeezy, 848656782289391616
@CryptoGainz1, 864132625224658944
@TTremendous350, 1057567905477476352
@stormXBT, 922902967342305285
@cryptomocho, 851180269285625856
@crypToBanger, 1108444442
@BullyEsq, 848232140332519424
@Socal_crypto, 2593604311
@SecretsOfCrypto, 2856228978
@bbands, 54675700
@PeterLBrandt, 247857712
@RampCapitalLLC, 2214652482
@prestonjbyrne, 151936663
@NickSzabo4, 2568108282
@ummjackson, 25456180
@TimDraper, 20884310
@officialmcafee, 961445378
@elonmusk, 44196397
@tailopez, 1691181
@coinbase, 574032254
@binance, 877807935493033984
@krakenfx, 1399148563
@OKEx, 867617849208037377
@HuobiGlobal, 914029581610377217
@bitfinex, 886832413
@Bitstamp, 352518189
@BitMEXdotcom, 2439495535
@BittrexExchange, 2309637680
@BithumbOfficial, 908496633196814337
